cohort,sent_at,role,segment,variant,status_2026-09-03
1,2026-08-31T19:56Z,Founder and fractional product leader,product,B,replied 2026-09-01 (18h) and booked for 2026-09-02
1,2026-08-31T19:56Z,Fractional COO,operations,B,no reply
1,2026-08-31T19:56Z,Revenue-cycle and compliance consultant,healthcare,B,no reply
1,2026-08-31T19:56Z,Medical practice startup consultant,healthcare,B,no reply
1,2026-08-31T19:56Z,Service design consultant (public sector),design,B,no reply
1,2026-08-31T19:56Z,Financial advisory firm founder,finance,B,no reply
1,2026-08-31T19:56Z,Fractional HR consultant,hr,B,no reply
1,2026-08-31T19:56Z,Advisory firm with an eight-phase method,operations,B,no reply
1,2026-08-31T19:56Z,Fractional COO (manufacturing),operations,B,no reply
1,2026-08-31T19:56Z,Consultant with a pre-call intake process,operations,B,no reply
2,2026-09-01T14:17Z,Fractional operations consultant,operations,B+sample,no reply
2,2026-09-01T14:17Z,Fractional operations and systems consultant,operations,B+sample,no reply
2,2026-09-01T14:17Z,Fractional product manager,product,B+sample,no reply
2,2026-09-01T14:17Z,Product discovery consultant,product,B+sample,no reply
2,2026-09-01T14:17Z,Fractional CTO,technology,B+sample,no reply
2,2026-09-01T14:17Z,Fractional CTO and VP Engineering,technology,B+sample,no reply
2,2026-09-01T14:17Z,Fractional CMO and COO (healthcare),marketing,B+sample,no reply
2,2026-09-01T14:17Z,Healthcare regulatory consultant,healthcare,B+sample,no reply
2,2026-09-01T14:17Z,Fractional CFO (CPA firm),finance,B+sample,no reply
2,2026-09-01T14:17Z,Fractional CFO,finance,B+sample,no reply
